,dim_partner_partner_id,dim_partner_partner_name,cuisine,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,Orders,acumulado,new_ept,new_ept_fixed,partner_id,partner_name,strategy,buffer,STRATEGY2
90,393201,little caesars pizza - mapocho,pizzas,0.1775700935,0.1455273698,0.1019184652,14.03504673,856,0.1203300079,22,22,393201,Little Caesars Pizza - Mapocho,OPS_PERMANENT,1,OPS_PERMANENT
91,408053,little caesars pizza - villa alemana,pizzas,0.07259953162,0.08210784314,0.02158273381,13.88173302,854,0.1286582214,22,22,408053,Little Caesars Pizza - Villa Alemana,OPS_TEMPORARY,2,OPS_TEMPORARY
92,210216,papa john's pizza - curicó,pizzas,0.04829210836,0.08849557522,0.01861042184,16.60777385,849,0.1369376749,25,25,210216,Papa John's Pizza - Curicó,COMPUTED,1,OPS_TEMPORARY
93,376007,little caesars pizza - melipilla,pizzas,0.02983293556,0.06956521739,0.006172839506,12.43317422,838,0.1451098564,20,20,376007,Little Caesars Pizza - Melipilla,COMPUTED,2,OPS_TEMPORARY
94,133750,papa john's pizza- huanhualí,pizzas,0.3117505995,0.1536351166,0.09553349876,22.08273381,834,0.1532430298,30,30,133750,Papa John's Pizza- Huanhualí,COMPUTED,0,OPS_TEMPORARY
95,488934,under pizza - concepción,pizzas,0.175059952,0.2536715621,0.06956521739,14.20863309,834,0.1613762032,22,22,488934,Under Pizza - Concepción,OPS_PERMANENT,0,OPS_PERMANENT
96,226813,little caesars pizza gran avenida,pizzas,0.2404438964,0.1205479452,0.07711757269,19.69543773,811,0.1692850804,28,28,226813,Little Caesars Pizza Gran Avenida,COMPUTED,0,OPS_TEMPORARY
97,343881,little caesars pizza la montaña,pizzas,0.1552795031,0.2430167598,0.09823677582,10.77018634,805,0.1771354456,19,19,343881,Little Caesars Pizza La Montaña,OPS_PERMANENT,1,OPS_PERMANENT
98,248581,tio's pizza antofagasta,pizzas,0.144836272,0.09078590786,0.04651162791,21.32493703,794,0.1848785388,29,29,248581,Tio's Pizza Antofagasta,COMPUTED,1,OPS_TEMPORARY
99,144830,papa john's pizza - antofagasta centro,pizzas,0.1544502618,0.1270949721,0.04787234043,18.56151832,764,0.1923290717,27,27,144830,Papa John's Pizza - Antofagasta Centro,COMPUTED,2,OPS_TEMPORARY
100,315244,under pizza - departamental,pizzas,0.2818791946,0.2646616541,0.09276944065,21.61208054,745,0.1995943165,30,30,315244,Under Pizza - Departamental,OPS_PERMANENT,0,OPS_PERMANENT
101,198518,papa john's pizza - la chimba,pizzas,0.1623815968,0.5446685879,0.05191256831,11.46820027,739,0.2068010493,19,19,198518,Papa John's Pizza - La Chimba,OPS_PERMANENT,0,OPS_PERMANENT
102,511803,little caesars pizza - gran avenida 2,pizzas,0.1307371349,0.1114551084,0.08108108108,12.88456189,719,0.213812742,21,21,511803,Little Caesars Pizza - Gran Avenida 2,COMPUTED,0,OPS_TEMPORARY
103,141610,papa john's pizza - plaza brasil,pizzas,0.1420534459,0.08095238095,0.08563134978,16.62165963,711,0.2207464186,25,25,141610,Papa John's Pizza - Plaza Brasil,COMPUTED,0,OPS_TEMPORARY
104,282867,papa johns pizza - ovalle,pizzas,0.156779661,0.1459627329,0.03880597015,19.92231638,708,0.2276508392,28,28,282867,Papa Johns Pizza - Ovalle,COMPUTED,0,OPS_TEMPORARY
105,205413,little caesars pizza vicuña mackenna,pizzas,0.3847241867,0.4184027778,0.1312217195,16.79915134,707,0.2345455077,25,25,205413,Little Caesars Pizza Vicuña Mackenna,OPS_PERMANENT,0,OPS_PERMANENT
106,222586,papa john's pizza - temuco norte,pizzas,0.2011412268,0.1485451761,0.05087209302,21.77318117,701,0.2413816643,30,30,222586,Papa John's Pizza - Temuco Norte,COMPUTED,1,OPS_TEMPORARY
107,135160,melt pizzas - quilpue,pizzas,0.1759530792,0.09148264984,0.04229607251,22.92082111,682,0.2480325327,31,30,135160,Melt Pizzas - Quilpue,OPS_TEMPORARY,2,OPS_TEMPORARY
108,227217,little caesars pedro fontova,pizzas,0.1362962963,0.1122278057,0.06279434851,14.03111111,675,0.2546151371,22,22,227217,Little Caesars Pedro Fontova,COMPUTED,1,OPS_TEMPORARY
109,397667,papa john's pizza - colina,pizzas,0.07390648567,0.0992,0.009508716323,17.97435897,663,0.2610807174,26,26,397667,Papa John's Pizza - Colina,OPS_TEMPORARY,2,OPS_TEMPORARY
110,141208,papa john's pizza - froilan roa,pizzas,0.2133956386,0.1576182137,0.08785942492,18.81775701,642,0.2673415055,27,27,141208,Papa John's Pizza - Froilan Roa,COMPUTED,0,OPS_TEMPORARY
111,294801,little caesars pizza campo de deporte,pizzas,0.1067503925,0.1033333333,0.04912836767,13.65463108,637,0.2735535336,22,22,294801,Little Caesars Pizza Campo De Deporte,COMPUTED,1,OPS_TEMPORARY
112,397666,papa john's pizza - vivo chillán,pizzas,0.07923930269,0.08265802269,0.006441223833,19.14104596,631,0.2797070497,27,27,397666,Papa John's Pizza - Vivo Chillán,OPS_TEMPORARY,2,OPS_TEMPORARY
